odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cestatus,ceapplicationcycle,siteid,sitename,sitestatus,siteapplicationcycle,countydistrictcode,cecounty,sitecounty,cestreetaddressline1,cestreetaddresscity,cestreetaddressstate,cestreetaddresszipcode,cemailingaddressline1,cemailingaddresscity,cemailingaddressstate,cemailingaddresszipcode,sitestreetaddressline1,sitestreetaddresscity,sitestreetaddressstate,sitestreetaddresszipcode,superintendentsalutation,superintendentfirstname,superintendentlastname,superintendenttitleposition,superintendentemail,superintendentphone,childnutdirsalutation,childnutdirfirstname,childnutdirlastname,childnutdirtitleposition,childnutdiremail,childnutdirphone,seamlesssummercontactsalutation,seamlesssummercontactfirstname,seamlesssummercontactlastname,seamlesssummercontacttitleposition,seamlesssummercontactemail,seamlesssummercontactphone,sitetype,sitestartdate,siteenddate,daysofoperation,mealservicetype,mealtypesserved,lunchtime,lunchdaysserved,geolocation,:@computed_region_ptpy_sh92,:@computed_region_59h5_km5p,:@computed_region_de3d_j5mj,:@computed_region_ji3u_dqif,:@computed_region_rk7b_wvzt,breakfasttime,breakfastdaysserved,cestreetaddressline2,cemailingaddressline2,siteterminationstatus,siteterminatedasofdate,sitestreetaddressline2,amsnacktime,amsnackdaysserved,suppertime,supperdaysserved,pmsnacktime,pmsnackdaysserved,ceterminationstatus,ceterminatedasofdate
00406-0043,2022-2023,SSOCONTACTS,00406,TEXAS CITY ISD,Educational Institution,Public,4,3,Active,RENEWAL,0043,GILES MIDDLE,Active,RENEWAL,084-906,GALVESTON,GALVESTON,1700 Ninth Avenue North,TEXAS CITY,TX,77590-5495,P O BOX 1150,TEXAS CITY,TX,77592-1150,7451 Monticello Dr.,Texas City,TX,77591,Dr.,Melissa,Duarte,SUPERINTENDENT,mduarte@tcisd.org,4099160100,Mr.,John,VanDever,Nutrition Services Director,JVanDever@tcisd.org,4099160139,Mr.,John,VanDever,Nutrition Services Director,jvandever@tcisd.org,4099160139,Open,2023-07-19T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.9931251, 29.392812095]}",24,124,16,14,11,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00763-0102,2022-2023,SSOCONTACTS,00763,MADISONVILLE CONS ISD,Educational Institution,Public,6,3,Active,RENEWAL,0102,MADISONVILLE INTERMEDIATE SCHOOL,Active,RENEWAL,154-901,MADISON,MADISON,718 BACON ST,MADISONVILLE,TX,77864-2540,P O BOX 879,MADISONVILLE,TX,77864-0879,1000 Raney Lane,MADISONVILLE,TX,77864-1887,Mr.,KEITH,SMITH,SUPERINTENDENT,ctheiss@madisonvillecisd.org,9363482797,Mrs.,Tara,Green,DIRECTOR OF CHILD NUTRITION,tgreen@madisonvillecisd.org,9363482797,Mrs.,Tara,Green,Director of Child Nutrition,Tgreen@madisonvillecisd.org,9363482797,Open,2023-05-30T00:00:00.000,2023-06-28T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.894595515, 30.946051212]}",12,55,16,10,5,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00119-0101,2022-2023,SSOCONTACTS,00119,DAMON ISD,Educational Institution,Public,4,3,Active,RENEWAL,0101,DAMON EL,Active,RENEWAL,020-910,BRAZORIA,BRAZORIA,1211 MULCAHY AVE,DAMON,TX,77430-0429,P O BOX 429,DAMON,TX,77430-0429,1211 MULCAHY AVE,DAMON,TX,77430-0429,Mr.,David,Hayward,SUPERINTENDENT,dhayward@damonisd.net,9797423457,Mr.,David,Hayward,SUPERINTENDENT,dhayward@damonisd.net,9797423457,Mr.,David,Hayward,Superintendent of Schools/Director Of Student Nutrition,dhayward@damonisd.net,9368706835,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.740488002, 29.289088994]}",25,143,16,14,17,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,P.O. Box 439,,,,,,,,
00571-0044,2022-2023,SSOCONTACTS,00571,PHARR-SAN JUAN-ALAMO ISD,Educational Institution,Public,1,5,Active,RENEWAL,0044,LIBERTY MIDDLE SCHOOL,Active,RENEWAL,108-909,HIDALGO,HIDALGO,601 E KELLY,PHARR,TX,78577-1615,P O BOX 1150,PHARR,TX,78577-1615,1212 S FIR ST,PHARR,TX,78577-4998,Dr.,Alejandro,Elias,SUPERINTENDENT,dr.elias@psjaisd.us,9563542009,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Open,2023-06-05T00:00:00.000,2023-08-18T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.179689971, 26.181210012]}",36,134,16,34,20,7:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00346-0133,2022-2023,SSOCONTACTS,00346,EL PASO ISD,Educational Institution,Public,19,1,Active,RENEWAL,0133,NEWMAN EL,Active,RENEWAL,071-902,EL PASO,EL PASO,1014 N. Stanton,EL PASO,TX,79902-4109,P O BOX 20100,EL PASO,TX,79998-0100,10275 ALCAN DR,EL PASO,TX,79924-3499,Ms.,Diana,Sayavedra,SUPERINTENDENT,disayave@episd.org,9152302576,Mrs.,Laura,Duran,"Director, Food and Nutrition Services",lduran@episd.org,9152302174,Mrs.,Laura,Eggemeyer,"Assistant Director, EPISD Food and Nutrition Services Dept.",leeggeme@episd.org,9152302175,Open,2023-06-12T00:00:00.000,2023-07-07T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:45 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-106.41300224, 31.910241558]}",78,205,16,16,29,7:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00700-0001,2022-2023,SSOCONTACTS,00700,RIVIERA ISD,Educational Institution,Public,2,5,Active,RENEWAL,0001,KAUFER H S,Active,RENEWAL,137-903,KLEBERG,KLEBERG,203 SEAHAWK DR,RIVIERA,TX,78379-3500,203 SEAHAWK DR,RIVIERA,TX,78379-3500,203 SEAHAWK DR,RIVIERA,TX,78379-3500,Mrs.,Patricia,Thornton,SUPERINTENDENT,pthornton@rivieraisd.us,3612963101,Mrs.,MILLIE,CLEMENTS,Child Nutrition Director,mclements@rivieraisd.us,3612963101,Mrs.,Millie,Clements,Child Nutrition Director,mclements@rivieraisd.us,3612963101,Open,2023-05-30T00:00:00.000,2023-06-28T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.809170527, 27.296903061]}",43,187,16,34,27,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00520-0002,2022-2023,SSOCONTACTS,00520,GALENA PARK ISD,Educational Institution,Public,4,3,Active,RENEWAL,0002,GALENA PARK H S,Active,RENEWAL,101-910,HARRIS,HARRIS,14705 WOODFOREST BLVD,HOUSTON,TX,77015-3529,PO BOX 565,GALENA PARK,TX,77547-0565,1000 Keene St.,Galena Park,TX,77547,Dr.,John,Moore,SUPERINTENDENT of SCHOOLS,ASKTed@galenaparkisd.com,8323861000,Mr.,Brian,Aubin,Director of Student Nutrition,baubin@galenaparkisd.com,8323861286,Mr.,Brian,Aubin,Director,baubin@galenaparkisd.com,8323861286,Open,2023-06-05T00:00:00.000,2023-06-23T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:30 AM - 11:30 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.23725203, 29.739397983]}",143,121,16,29,6,7:00 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00562-0117,2022-2023,SSOCONTACTS,00562,IDEA ACADEMY,Educational Institution,Charter,1,5,Active,RENEWAL,0117,IDEA TRES LAGOS ACADEMY,Active,RENEWAL,108-807,HIDALGO,CAMERON,2115 W. Pike Boulevard,Weslaco,TX,78596-4694,2115 W. Pike Blvd.,Weslaco,TX,78596-4694,5200 Tres Lagos Blvd.,McAllen,TX,78504,Dr.,Jeff,Cottrill,Superintendent,jeffrey.cottrill@ideapublicschools.org,9563143416,Mr.,Fernando,Aguilar,Vice President of The Child Nutrition Program,fernando.aguilar@ideapublicschools.org,9563731748,,Irma,Lugo,Cafeteria Manager,irma.lugo@ideapublicschools.org,9563551363,Open,2023-05-30T00:00:00.000,2023-07-26T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.256482034, 26.344013017]}",40,134,16,15,20,7:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00123-1218,2022-2023,SSOCONTACTS,00123,BRYAN ISD,Educational Institution,Public,6,3,Active,RENEWAL,1218,North Bryan Community Center,Active,NEWAPP,021-902,BRAZOS,BRAZOS,801 S. Ennis,BRYAN,TX,77803-4642,801 S. Ennis,BRYAN,TX,77803-4642,705 N. Houston Ave,Bryan,TX,77803,Ms.,Ginger,Carrabine,SUPERINTENDENT,ginger.carrabine@bryanisd.org,9792091002,Mrs.,Sundy,Fryrear,"Director, School Nutrition Services",sundy.fryrear@bryanisd.org,9792097052,Ms.,Sundy,Fryrear,"Director, SNS",sundy.fryrear@bryanisd.org,9792097052,Open,2023-06-05T00:00:00.000,2023-07-21T00:00:00.000,"M,T,W,TH,F",Congregate,Lunch,11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.368607961, 30.679069008]}",12,101,16,10,5,,,,,,,,,,,,,,,
01068-0189,2022-2023,SSOCONTACTS,01068,AUSTIN ISD,Educational Institution,Public,13,4,Active,RENEWAL,0189,OVERTON ELEMENTARY,Active,RENEWAL,227-901,TRAVIS,TRAVIS,4000 S IH 35 FRONTAGE RD,AUSTIN,TX,78704-7420,4000 S IH 35 FRONTAGE RD,AUSTIN,TX,78704-7420,7201 COLONY LOOP DR,AUSTIN,TX,78724,Dr.,Stephanie S.,Elizalde,SUPERINTENDENT,superintendent@austinisd.org,5124141700,Ms.,Linley,Danner,"Interim Executive Director, Nutrition and Food Services",linley.danner@austinisd.org,5124140251,,Linley,Danner,Director of Operations,Linley.Danner@austinisd.org,5124140219,Open,2023-05-30T00:00:00.000,2023-07-14T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:15 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.635997989, 30.300327013]}",51,247,16,35,14,7:00 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
01020-0227,2022-2023,SSOCONTACTS,01020,FORT WORTH ISD,Educational Institution,Public,11,2,Active,RENEWAL,0227,DOLORES HUERTA ELEMENTARY,Active,RENEWAL,220-905,TARRANT,TARRANT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,3309 W LONG AVE,FORT WORTH,TX,76106,Ms.,Angelica,Ramsey,SUPERINTENDENT,karen.molinar@fwisd.org,8178141900,Ms.,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143512,,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143500,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.372116985, 32.803359983]}",90,190,16,33,9,8:00 AM - 8:20 AM,"M, T, W, TH",,,,,,,,,,,,,
01020-0049,2022-2023,SSOCONTACTS,01020,FORT WORTH ISD,Educational Institution,Public,11,2,Active,RENEWAL,0049,KIRKPATRICK MIDDLE,Active,RENEWAL,220-905,TARRANT,TARRANT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,3201 REFUGIO AVE,FORT WORTH,TX,76106-5699,Ms.,Angelica,Ramsey,SUPERINTENDENT,karen.molinar@fwisd.org,8178141900,Ms.,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143512,,ANGELA,LOWE,ASSISTANT DIRECTOR,ANGELA.LOWE@FWISD.ORG,8178143500,Open,2023-05-30T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 12:40 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.360114016, 32.803120009]}",90,190,16,33,9,7:30 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
00568-0045,2022-2023,SSOCONTACTS,00568,MCALLEN ISD,Educational Institution,Public,1,5,Active,RENEWAL,0045,MORRIS MIDDLE,Active,RENEWAL,108-906,HIDALGO,HIDALGO,2000 N 23RD ST,MCALLEN,TX,78501-2000,2000 N 23RD ST,MCALLEN,TX,78501-2000,1400 TRENTON RD,MCALLEN,TX,78501-3145,Dr.,Jose,Gonzalez,SUPERINTENDENT,Jose.Gonzalez@mcallenisd.net,9566186000,Ms.,Alexandra,Molina,Child Nutrition Director,alexandra.molina@mcallenisd.net,9566323226,Mrs.,Sonia,Esquivel,Director,sonia.esquivel@mcallenisd.net,9566323226,Closed,2023-05-30T00:00:00.000,2023-08-25T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 11:00 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.224355037, 26.269871982]}",41,134,16,15,20,8:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00152-0042,2022-2023,SSOCONTACTS,00152,HARLINGEN CONS ISD,Educational Institution,Public,1,5,Active,RENEWAL,0042,MEMORIAL MIDDLE,Active,RENEWAL,031-903,CAMERON,CAMERON,407 N 77 SUNSHINE STRIP,HARLINGEN,TX,78550-5820,407 N 77 SUNSHINE STRIP,HARLINGEN,TX,78550-5820,1901 Rio Hondo Rd,HARLINGEN,TX,78550-7113,Dr.,Alicia,Noyola,SUPERINTENDENT,alicia.noyola@hcisd.org,9564309502,Mrs.,Judy K.,"Baker, R.D.",Director of Child Nutrition,judy.baker@hcisd.org,9564273310,Mrs.,Judy,Baker,Director Child Nutrition Services,judy.baker@hcisd.org,9564273310,Open,2023-05-29T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.675699963, 26.214488012]}",37,144,16,34,27,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00562-0188,2022-2023,SSOCONTACTS,00562,IDEA ACADEMY,Educational Institution,Charter,1,5,Active,RENEWAL,0188,IDEA Robindale Academy,Active,RENEWAL,108-807,HIDALGO,HIDALGO,2115 W. Pike Boulevard,Weslaco,TX,78596-4694,2115 W. Pike Blvd.,Weslaco,TX,78596-4694,3802 E Ruben Torres Sr Boulevard,Brownsville,TX,78521,Dr.,Jeff,Cottrill,Superintendent,jeffrey.cottrill@ideapublicschools.org,9563143416,Mr.,Fernando,Aguilar,Vice President of The Child Nutrition Program,fernando.aguilar@ideapublicschools.org,9563731748,,Erika,Torres,Cafeteria Manager,erika.torres@ideapublicschools.org,9565894765,Open,2023-05-30T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.453784969, 25.946840013]}",38,144,16,34,27,7:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01123-0001,2022-2023,SSOCONTACTS,01123,UNITED ISD,Educational Institution,Public,1,5,Active,RENEWAL,0001,UNITED H S,Active,RENEWAL,240-903,WEBB,WEBB,201 Lindenwood Dr.,Laredo,TX,78045-2499,201 Lindenwood Dr.,Laredo,TX,78045-2499,2811 United Ave.,Laredo,TX,78045,Mr.,David,Gonzalez,Superintendent,dhgonzalez@uisd.net,9564736219,Mr.,Raul,"Ramirez, Jr.",Child Nutrition Department Director,rramirez@uisd.net,9564736556,Mrs.,Aryana,Valdez,Operations Manager,amontemayor@uisd.net,9564736556,Open,2023-05-31T00:00:00.000,2023-06-26T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:45 AM - 1:15 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.465678017, 27.625190019]}",42,220,16,28,21,8:30 AM - 9:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01019-0001,2022-2023,SSOCONTACTS,01019,EVERMAN ISD,Educational Institution,Public,11,2,Active,RENEWAL,0001,EVERMAN H S,Active,RENEWAL,220-904,TARRANT,TARRANT,1520 B Everman Parkway,EVERMAN,TX,76140-5206,1520 B Everman Parkway,EVERMAN,TX,76140-5206,1520 Everman Pkwy,Everman,TX,76140,Dr.,Felicia,Donaldson,INTERIM SUPERINTENDENT,fdonaldson@eisd.org,8175683500,Mrs.,Christina,Smith,Director of Child Nutrition,csmith@eisd.org,8175683500,Mrs.,Colton,Lawrence,Director Of Child Nutrition,clawrence@eisd.org,8175683500,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.303121014, 32.626203011]}",95,190,16,33,10,8:00 AM - 9:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00567-0102,2022-2023,SSOCONTACTS,00567,HIDALGO ISD,Educational Institution,Public,1,5,Active,RENEWAL,0102,KELLY EL,Active,RENEWAL,108-905,HIDALGO,HIDALGO,324 E FLORA ST,HIDALGO,TX,78557-3004,P O BOX 8220,HIDALGO,TX,78557-8220,201 E LAS MILPAS RD,PHARR,TX,78577-9784,Mr.,Xavier,Salinas,Superintendent,xasalinas@hidalgo-isd.org,9568434405,Mr.,Gilbert,Requena,Child Nutrition Director,girequena@hidalgo-isd.org,9568434474,Mr.,Gilberto,Requena,Director of Child Nutrition Program,girequena@hidalgo-isd.org,9568434474,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.194327037, 26.116862016]}",36,134,16,15,20,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00693-0041,2022-2023,SSOCONTACTS,00693,KERRVILLE ISD,Educational Institution,Public,20,4,Active,RENEWAL,0041,PETERSON MIDDLE,Active,RENEWAL,133-903,KERR,KERR,1009 BARNETT ST,KERRVILLE,TX,78028-4614,1009 BARNETT ST,KERRVILLE,TX,78028-4614,3175 LOOP 534 A HAL PETERSON,KERRVILLE,TX,78028,Dr.,Mark,Foust,SUPERINTENDENT,mark.foust@kerrvilleisd.net,8302572200,Mr.,Jarrett,Jachade,Assistant Superintendent Business Services,jarrett.jachade@kerrvilleisd.net,8302572200,Mrs.,Christy,Rynearson,Administrative Assisatant,christy.rynearson@kerrvilleisd.net,8302572215,Open,2023-05-31T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.112858986, 30.040622]}",53,135,16,21,24,7:30 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00571-1099,2022-2023,SSOCONTACTS,00571,PHARR-SAN JUAN-ALAMO ISD,Educational Institution,Public,1,5,Active,RENEWAL,1099,South Alamo Estates,Active,RENEWAL,108-909,HIDALGO,HIDALGO,601 E KELLY,PHARR,TX,78577-1615,P O BOX 1150,PHARR,TX,78577-1615,1126 S. Alamo Rd.,Alamo,TX,78516,Dr.,Alejandro,Elias,SUPERINTENDENT,dr.elias@psjaisd.us,9563542009,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Open,2023-06-05T00:00:00.000,2023-07-14T00:00:00.000,"M,T,W,TH,F",Congregate,Lunch,12:00 PM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.124002031, 26.162645983]}",39,134,16,34,27,,,,,,,,,,,,,,,
00350-0101,2022-2023,SSOCONTACTS,00350,ANTHONY ISD,Educational Institution,Public,19,1,Active,RENEWAL,0101,ANTHONY EL,Active,RENEWAL,071-906,EL PASO,EL PASO,840 SIXTH ST,ANTHONY,TX,79821-1279,840 SIXTH ST,ANTHONY,TX,79821-1279,610 6th St,Anthony,TX,79821,Mr.,Oscar,Troncoso,SUPERINTENDENT,otroncoso@anthonyisd.net,9158866551,Ms.,Tisha,Villalva,Child Nurtition Director,tvillalva@anthonyisd.net,9158866542,,Tisha,Villalva,CN Director,tvillalva@anthonyisd.net,9158866542,Open,2023-06-05T00:00:00.000,2023-07-20T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:45 AM - 1:45 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-106.601453035, 31.995410985]}",78,205,16,16,29,7:45 AM - 9:45 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00005-0001,2022-2023,SSOCONTACTS,00005,PALESTINE ISD,Educational Institution,Public,7,2,Active,RENEWAL,0001,PALESTINE H S,Active,RENEWAL,001-907,ANDERSON,ANDERSON,1007 E PARK AVE,PALESTINE,TX,75801-4500,1007 E PARK AVE,PALESTINE,TX,75801-4500,1600 S. Loop 256,Palestine,TX,75801,Mr.,Jason,Marshall,SUPERINTENDENT,ledge@palestineschools.org,9037318000,Ms.,Mimi,Spreen,Director of Food Services,mspreen@palestineschools.org,9037318042,Ms.,Douglas,Hoffman,Director of Dining Services,mspreen@palestineschools.org,9037318042,Open,2023-05-30T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:30 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.605137029, 31.738499995]}",8,245,16,6,3,7:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00654-0127,2022-2023,SSOCONTACTS,00654,BEAUMONT ISD,Educational Institution,Public,5,3,Active,RENEWAL,0127,BLANCHETTE ELEMENTARY,Active,NEWAPP,123-910,JEFFERSON,JEFFERSON,3395 Harrison,BEAUMONT,TX,77706-5009,3395 Harrison,BEAUMONT,TX,77706-5009,5265 S Kenneth St,Beaumont,TX,77705,Dr.,Shannon,Allen,SUPERINTENDENT of SCHOOLS,spier@bmtisd.com,4096175000,Ms.,Mary Ellen,Vivrett,Director of Child Nutrition,mvivret@bmtisd.com,4096175070,Mrs.,Mary Ellen,Vivrett,Child Nutrition Director,mvivret@bmtisd.com,4096175070,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:30 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.087615001, 30.034765019]}",22,172,16,14,3,7:00 AM - 9:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00276-0155,2022-2023,SSOCONTACTS,00276,DALLAS ISD,Educational Institution,Public,10,2,Active,RENEWAL,0155,C A TATUM JR EL,Active,RENEWAL,057-905,DALLAS,DALLAS,9400 North Central Expressway.,DALLAS,TX,75231-5491,1515 Al Lipscomb Way,DALLAS,TX,75215-2632,3002 N ST AUGUSTINE RD,DALLAS,TX,75227,Ms.,Stephanie,Elizalde,Superintendent,selizalde@dallasisd.org,9729253700,Mr.,Michael,Rosenberger,Executive Director,MROSENBERGER@dallasisd.org,2149325502,,Janet,Li,Lead Area Supervisor,jali@dallasisd.org,2149325430,Open,2023-05-30T00:00:00.000,2023-08-11T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.656015039, 32.763442007]}",100,46,16,32,23,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
04979-0003,2022-2023,SSOCONTACTS,04979,EL PASO LEADERSHIP ACADEMY,Educational Institution,Charter,19,1,Active,RENEWAL,0003,EL PASO LEADERSHIP ACADEMY - M S EAST,Active,NEWAPP,071-810,EL PASO,EL PASO,1918 Texas Avenue,El Paso,TX,79901-1917,1918 Texas Avenue,El Paso,TX,79901-1917,2101 JOE BATTLE BLVD,EL PASO,TX,79938,Mr.,Victor,Yanar,CEO/Superintendent,oyanar@epla.org,9152983900,Ms.,Miriam,Martinez,PEIMS/Special Program Coordinator,mrmartinez@epla.org,9152556182,,MIRIAM,MARTINEZ,SCHOOL NUTRITION DIRECTOR,schoolnutrition@epla.org,9152556182,Open Restricted,2023-06-12T00:00:00.000,2023-07-12T00:00:00.000,"M,T,W,TH,F",Congregate,Breakfast,,,"{'type': 'Point', 'coordinates': [-106.269554983, 31.768871989]}",79,205,16,16,29,7:30 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
07040-0001,2022-2023,SSOCONTACTS,07040,Royal Public Schools,Educational Institution,Charter,20,4,Active,RENEWAL,0001,ROYAL ACADEMY OF EXCELLENCE,Active,RENEWAL,015-842,BEXAR,BEXAR,4018 S. Presa st,San Antonio,TX,78233-1005,4018 S. Presa st,San Antonio,TX,78233-1005,4018 S. Presa st,San Antonio,TX,78223,Dr.,Soner,Tarim,CEO,Starim@royaltx.org,2105310300,Mr.,Gabriel,Johnson,Kitchen Manager,gjohnson@royaltx.org,2105310300,Mr.,Gabriel,Johnson,Child Nutrition Director,gjohnson@royaltx.org,2105310300,Open,2023-07-01T00:00:00.000,2023-07-31T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.47773997, 29.383700019]}",119,44,16,28,26,8:00 AM - 8:45 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00202-0113,2022-2023,SSOCONTACTS,00202,PLANO ISD,Educational Institution,Public,10,2,Active,RENEWAL,0113,WEATHERFORD EL,Active,RENEWAL,043-910,COLLIN,COLLIN,2700 W 15TH,PLANO,TX,75075-7524,2700 W 15TH,PLANO,TX,75075-7524,2941 MOLLIMAR DR,PLANO,TX,75075-6306,Dr.,Theresa,Williams,Superintendent,theresa.williams@pisd.edu,4697528122,Mrs.,Ashley,Hipp,Food and Nutritional Services Director,ashley.hipp@pisd.edu,4697525791,Mrs.,Ashley,Hipp,Food and Nutritional Services Director,ashley.hipp@pisd.edu,4697525791,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:30 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.753580978, 33.022521019]}",70,22,16,3,8,7:30 AM - 7:50 AM,"M, T, W, TH, F",,,,,,,,,,,,,
